Law,Article,Subject,Behavior,Consequence
Law of the People's Republic of China on Public Security Administration Penalties,Article 41(2),Citizens,"Repeatedly harassing, forcibly begging, or disturbing others",Detention up to 5 days or warning
,Article 42(5),Citizens,"Repeatedly sending obscene, insulting, threatening or other messages that interfere with normal life","Detention up to 5 days or fine up to 500 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 42(6),Citizens,"Peeping, secretly photographing, eavesdropping, or spreading others' privacy","Detention up to 5 days or fine up to 500 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 45(2),Citizens,Abandoning dependents who cannot live independently,Detention up to 5 days or warning
,Article 48,Citizens,"Impersonating, concealing, destroying, privately opening or illegally inspecting others' mail",Detention up to 5 days or fine up to 500 yuan
,Article 56(1),Hotel Staff,"Failing to register guests' names, ID types and numbers according to regulations",Fine of 200-500 yuan
,Article 57(1),Housing Lessors,"Renting housing to persons without ID or failing to register tenants' names, ID types and numbers",Fine of 200-500 yuan
,Article 58,Citizens,"Violating noise pollution prevention laws, creating noise disturbing others' normal life","Warning; if not corrected after warning, fine of 200-500 yuan"
,Article 64(1),Citizens,Taking others' motor vehicles without permission,"Fine of 500-1000 yuan; for serious cases, detention for 10-15 days and fine of 500-1000 yuan"
,Article 75(1),Animal Keepers,Keeping animals that disturb others' normal life,"Warning; if not corrected or allowing animals to frighten others, fine of 200-500 yuan"
,Article 23(2),Citizens,"Disturbing order at stations, ports, airports, shopping malls, parks, exhibition halls or other public places","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 23(3),Citizens,"Disturbing order on buses, trams, trains, ships, aircraft or other public transportation","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 24(5),Citizens,Throwing objects into venues and ignoring stop orders,"Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 26(2),Citizens,Chasing or intercepting others,"Detention for 5-10 days with possible fine up to 500 yuan; for serious cases, detention for 10-15 days with possible fine up to 1000 yuan"
,Article 26(3),Citizens,Forcibly taking or arbitrarily damaging/occupying public or private property,"Detention for 5-10 days with possible fine up to 500 yuan; for serious cases, detention for 10-15 days with possible fine up to 1000 yuan"
,Article 36,Citizens,Unauthorized entry into railway protective nets or walking/sitting/lying on railway tracks when trains approach,Warning or fine up to 200 yuan
,Article 37(2),Construction Units or Individuals,"Not providing covers, barriers or warning signs for ditches/wells/pits in vehicle or pedestrian areas, or intentionally damaging/moving such protection","Detention up to 5 days or fine up to 500 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 42(2),Citizens,Publicly insulting others or fabricating facts to defame others,"Detention up to 5 days or fine up to 500 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 43(1),Citizens,Beating others or intentionally causing bodily harm,"Detention for 5-10 days and fine of 200-500 yuan; for minor cases, detention up to 5 days or fine up to 500 yuan"
,Article 46,Citizens,"Forcing others to buy or sell goods, provide services or accept services","Detention for 5-10 days and fine of 200-500 yuan; for minor cases, detention up to 5 days or fine up to 500 yuan"
,Article 49,Citizens,"Theft, fraud, looting, robbery, extortion or intentional damage to public or private property","Detention for 5-10 days with possible fine up to 500 yuan; for serious cases, detention for 10-15 days with possible fine up to 1000 yuan"
,Article 50(1),Citizens,Refusing to execute government decisions or orders issued under emergency situations,"Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 50(2),Citizens,Obstructing state functionaries in performing their duties,"Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 50(3),Citizens,"Obstructing emergency vehicles like fire trucks, ambulances, engineering emergency vehicles, police cars","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 51(1),Citizens,Impersonating state functionaries or using other false identities to deceive,"Detention for 5-10 days with possible fine up to 500 yuan; for minor cases, detention up to 5 days or fine up to 500 yuan"
,Article 63(1),Citizens,"Carving, defacing or intentionally damaging state-protected cultural relics or historic sites","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days and fine of 200-500 yuan"
,Article 70,Citizens,"Providing conditions for gambling for profit, or participating in gambling with significant stakes","Detention up to 5 days or fine up to 500 yuan; for serious cases, detention for 10-15 days and fine of 500-3000 yuan"
,Article 74,Industry Staff,"Staff of hotels, catering, entertainment, taxi services tipping off offenders during police investigation of drug use, gambling, prostitution",Detention for 10-15 days
,Article 15(2),Intoxicated Persons,"Intoxicated person posing danger to self or threat to others' personal safety, property or public safety",Protective restraint until sobered up
,Article 23(1),Citizens,"Disturbing order of government agencies, organizations, enterprises, causing work, production, business, medical care, teaching, research unable to proceed normally","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 23(4),Citizens,"Illegally intercepting or forcibly boarding/hitching rides on motor vehicles, ships, aircraft or other transport vehicles","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 24(1),Citizens,"Forcibly entering venues and disturbing order at cultural, sports and other mass events","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 24(2),Citizens,"Setting off fireworks or other items in venues against regulations, disturbing order at cultural, sports and other mass events","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 24(3),Citizens,"Displaying insulting banners, slogans or other items, disturbing order at cultural, sports and other mass events","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 24(4),Citizens,"Surrounding and attacking referees, athletes or other staff, disturbing order at cultural, sports and other mass events","Warning or fine up to 200 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 25(1),Citizens,"Spreading rumors, falsely reporting dangers, epidemics, police situations or using other methods to intentionally disturb public order","Detention for 5-10 days with possible fine up to 500 yuan; for minor cases, detention up to 5 days or fine up to 500 yuan"
,Article 37(1),Citizens,"Installing or using electric nets without approval, or installing/using electric nets not complying with safety regulations","Detention up to 5 days or fine up to 500 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 37(3),Citizens,"Stealing, damaging road manhole covers, lighting and other public facilities","Detention up to 5 days or fine up to 500 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 39,Venue Management Staff,"Management staff of hotels, restaurants, theaters, entertainment venues, sports venues, exhibition halls or other public venues refusing to correct safety violations after police orders",Detention up to 5 days
,Article 42(3),Citizens,"Fabricating facts to falsely accuse others, attempting to subject others to criminal prosecution or security administration penalties","Detention up to 5 days or fine up to 500 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
,Article 42(4),Citizens,"Threatening, insulting, beating or retaliating against witnesses or their close relatives","Detention up to 5 days or fine up to 500 yuan; for serious cases, detention for 5-10 days with possible fine up to 500 yuan"
