Law,Article,Subject,Behavior,Consequence
Public Order Act 2023 of England,Section 1(1),Citizens,"Attaching themselves, another person, or object to another person/object/land in a way that causes or can cause serious disruption to multiple individuals or organizations","Up to 6 months imprisonment (51 weeks after CJA 2003 Section 281(5) comes into force), fine, or both"
,Section 2(1),Citizens,"Having an object intended for use in ""locking on"" offenses",Fine
,Section 3(1),Citizens,Creating or participating in tunnel creation that causes or can cause serious disruption to multiple individuals or organizations,"Up to general limit in magistrates' court, fine, or both; On indictment: Up to 3 years imprisonment, fine, or both"
,Section 4(1),Citizens,Being present in a protest-related tunnel causing or capable of causing serious disruption,"Up to general limit in magistrates' court, fine, or both; On indictment: Up to 3 years imprisonment, fine, or both"
,Section 5(1),Citizens,Having equipment intended for tunneling offenses,"Up to 6 months imprisonment (51 weeks after CJA 2003 Section 281(5) comes into force), fine, or both"
,Section 6(1),Citizens,Obstructing transport works or interfering with related equipment,"Up to 6 months imprisonment (51 weeks after CJA 2003 Section 281(5) comes into force), fine, or both"
,Section 7(1),Citizens,Interfering with use/operation of key national infrastructure,"Up to general limit in magistrates' court, fine, or both; On indictment: Up to 12 months imprisonment, fine, or both"
,Section 9(1),Citizens,Interfering with access to abortion services within safe access zones,Fine
,Section 14(1),Citizens,Intentionally obstructing a constable exercising stop and search powers,"Up to 51 weeks imprisonment, fine not exceeding level 3, or both"
,Section 27(1),Citizens,Breaching a serious disruption prevention order,"Up to 6 months imprisonment (51 weeks after CJA 2003 Section 281(5) comes into force), fine, or both"
,Section 19(1),Citizens,Breach of injunction capable of causing nuisance/annoyance or serious public safety impact,Power of arrest without warrant; Must appear before court within 24 hours
,Section 20(1),Citizens,Convicted of protest-related offense and having previous protest-related convictions/breaches within 5 years,Court may issue serious disruption prevention order lasting 1 week to 2 years
,Section 21(1),Citizens,Two or more protest-related offenses/breaches within 5 years,Magistrates' court may issue serious disruption prevention order
,Section 22(4),Citizens,"Violating prohibition on being in specific places/areas, associating with specific persons, participating in activities, or having specific articles",Determined by original order (typically serious disruption prevention order)
,Section 23(7),Citizens,Failing to keep in touch with supervising authority or notify change of address while under requirements,Treated as breach of the original order
,Section 24(1),Citizens,Failing to notify required information within 3 days when under serious disruption prevention order,Breach of order penalties apply
,Section 28(1),Citizens,Engaging in conduct while under serious disruption prevention order requiring variation,"Court may vary, renew or discharge the order"
,Section 30(2),Public Officials,Police failing to follow guidance on serious disruption prevention orders,Administrative/disciplinary consequences
,Section 34(1),Citizens,"Causing serious disruption to daily activities, construction works, or access to essential goods/services",Penalties vary based on specific offense committed
,Section 35(7),Public Officials,Failing to make transitional provisions for implementing the Act,Administrative consequences
Criminal Law (Consolidation)(Scotland) Act 1995 of England,Section 47(1),Citizens,Having an offensive weapon in any public place,"imprisonment up to 6 months or fine not exceeding statutory maximum, or both"
,Section 49(1),Citizens,Having an article with blade or point in a public place,"imprisonment up to 12 months or fine not exceeding statutory maximum, or both"
,Section 49(3),Citizens,Carrying a folding pocketknife with cutting edge not exceeding 3 inches,Legal - exempt from offense
,Section 49A(4)(a),Citizens,Having blade or weapon on school premises for use at work,Legal defense if proven
,Section 49A(4)(b),Citizens,Having blade or weapon on school premises for educational purposes,Legal defense if proven
,Section 49A(4)(c),Citizens,Having blade or weapon on school premises for religious reasons,Legal defense if proven
,Section 49A(4)(d),Citizens,Having blade or weapon on school premises as part of national costume,Legal defense if proven
,Section 52(1),Citizens,Wilfully or recklessly destroying or damaging property belonging to another without reasonable excuse,Guilty of vandalism
,Section 52(2),Citizens,Acts constituting wilful fire-raising,Cannot be charged as vandalism
,Section 52(3)(a),Citizens,Committing vandalism (first offense),"In district court: imprisonment up to 60 days, or fine not exceeding level 3, or both"
,Section 8(3),Citizens,Detaining any woman or girl against her will in premises with intent she may have unlawful sexual intercourse,imprisonment up to 2 years or fine or both
,Section 8(4),Citizens,Withholding clothing or property from woman/girl to prevent her leaving premises where detained for sexual purposes,Deemed to be unlawfully detaining
,Section 9(1)(a),Property Owner,Knowingly allowing premises to be used for unlawful sexual intercourse with girl under 13,imprisonment for life
,Section 9(1)(b),Property Owner,Knowingly allowing premises to be used for unlawful sexual intercourse with girl 13-16,imprisonment up to 2 years or fine or both
,Section 9(2),Citizens,Having reasonable cause to believe girl was over 16 in premises used for intercourse,Valid defense if proven
,Section 10(1),Guardian,Having charge of girl under 16 and causing/encouraging her seduction/prostitution,imprisonment up to 2 years or fine or both
,Section 10(2),Guardian,Knowingly allowing girl under care to associate with prostitutes,Deemed to have encouraged prostitution
,Section 11(5)(a),Property Manager,Managing or assisting in management of a brothel,imprisonment up to 7 years or fine or both
,Section 11(5)(b),Property Tenant,Knowingly permitting premises to be used as brothel,imprisonment up to 7 years or fine or both
,Section 12(1),Guardian,Allowing child 4-16 years to reside in or frequent a brothel,Fine not exceeding level 2 or imprisonment up to 6 months
